"Date","BTC","ETH"
"Nov-10-2021",87199.9371552656,6233.92277922898
"Nov-09-2021",89944.90678888,6367.10628268
"Nov-08-2021",90733.5332495517,6477.91661110831
"Nov-07-2021",84926.7348872014,6209.08528467832
"Nov-06-2021",82555.8018614698,6069.61793774018
"Nov-05-2021",82031.1733847529,6032.94727700807
"Nov-04-2021",82490.7766555939,6096.37392201136
"Nov-03-2021",84605.9400923582,6190.88035495482
"Nov-02-2021",84920.5237489359,6173.88481022245
"Nov-01-2021",82083.6147602891,5830.70750648162
"Oct-31-2021",82453.1952562198,5776.74211112101
"Oct-30-2021",82885.1024590516,5801.33040402964
"Oct-29-2021",83636.518742857,5929.43252557628
"Oct-28-2021",81241.7630068368,5750.32577506431
"Oct-27-2021",78879.02063184,5314.32400356
"Oct-26-2021",81184.96978878,5570.6699334
"Oct-25-2021",84670.5459851782,5668.47014239589
"Oct-24-2021",81794.0543632544,5490.07019819553
"Oct-23-2021",82316.95596124,5593.89448332
"Oct-22-2021",81584.8748087485,5350.75484520274
"Oct-21-2021",83741.0966209749,5478.36253378576
"Oct-20-2021",88698.7884081656,5598.38352895769
"Oct-19-2021",86320.60417838,5219.44176468
"Oct-18-2021",83277.53593302,5046.62724566
"Oct-17-2021",82778.8625368588,5184.2796291326
"Oct-16-2021",81809.2108073841,5165.38840259856
"Oct-15-2021",82703.698341565,5207.95265729103
"Oct-14-2021",77092.2067788861,5099.96453396682
"Oct-13-2021",77100.09492614,4842.4354693
"Oct-12-2021",75323.4006658672,4697.7373330109
"Oct-11-2021",77156.0402208783,4761.2988326606
"Oct-10-2021",73513.72174146,4615.67403726
"Oct-09-2021",74068.3398897259,4826.07764891064
"Oct-08-2021",72442.87959766,4790.8249103
"Oct-07-2021",72330.2435295048,4831.94080110622
"Oct-06-2021",74449.1154253727,4826.78586142882
"Oct-05-2021",69286.8553605684,4716.9516483604
"Oct-04-2021",66103.40253946,4565.3387208
"Oct-03-2021",64715.36024668,4601.63937948
"Oct-02-2021",64132.4749351,4561.03230726
"Oct-01-2021",64629.6371692943,4446.50522517824
"Sep-30-2021",58872.7234353539,4045.28347800734
"Sep-29-2021",55842.96075358,3837.49689752
"Sep-28-2021",54990.2951741,3779.27798248
"Sep-27-2021",56830.5042514462,3963.65261385155
"Sep-26-2021",58082.7012051,4123.4571664
"Sep-25-2021",57422.7962460205,3959.54512217097
"Sep-24-2021",57461.90905026,3938.5080163
"Sep-23-2021",60279.6112776,4245.9467193
"Sep-22-2021",58580.1996753444,4135.61981782411
"Sep-21-2021",54491.76352048,3704.95030906
"Sep-20-2021",57754.91077642,4008.51435556
"Sep-19-2021",63448.25871956,4475.13160952
"Sep-18-2021",64804.92698108,4618.02961334
"Sep-17-2021",63442.94912956,4572.00487744
"Sep-16-2021",64274.60378768,4809.33696386
"Sep-15-2021",64646.57067726,4827.25770384
"Sep-14-2021",63194.75415968,4600.6468222
"Sep-13-2021",60475.5867814571,4440.38169913217
"Sep-12-2021",61911.1656163,4592.39155232
"Sep-11-2021",60618.11161978,4399.8280469
"Sep-10-2021",60264.63030302,4326.25070592
"Sep-09-2021",62263.28028492,4613.51525206
"Sep-08-2021",61796.83441646,4692.31763286
"Sep-07-2021",63018.78050182,4626.14307012
"Sep-06-2021",70757.67218806,5296.77748886
"Sep-05-2021",69493.42843014,5323.35017214
"Sep-04-2021",67175.1815570633,5241.8843431286
"Sep-03-2021",67193.381074863,5294.61469589874
"Sep-02-2021",66294.0056636,5105.11809236
"Sep-01-2021",65522.53460324,5104.58242866
"Aug-31-2021",63480.20739632,4626.31714402
"Aug-30-2021",63205.1933513,4345.93127254
"Aug-29-2021",65700.14657206,4350.07880164
"Aug-28-2021",65683.02227058,4365.18478682
"Aug-27-2021",65873.7973179,4393.18796774
"Aug-26-2021",63352.9773877,4195.26876626
"Aug-25-2021",65785.10202836,4343.8521984
"Aug-24-2021",64164.08500788,4276.21528048
"Aug-23-2021",66519.62318144,4468.38211248
"Aug-22-2021",66166.8297155379,4367.09895031299
"Aug-21-2021",65866.37020964,4355.32387004
"Aug-20-2021",66229.558193346,4417.96580848864
"Aug-19-2021",62729.60436886,4274.18392544
"Aug-18-2021",60295.47875208,4087.17747724
"Aug-17-2021",59910.40228316,4055.78126668
"Aug-16-2021",61707.8432685,4245.25539724
"Aug-15-2021",63254.68061198,4452.21918284
"Aug-14-2021",63249.32773874,4399.71365548
"Aug-13-2021",64252.7225185995,4476.21287415831
"Aug-12-2021",59728.6351233,4104.95707622
"Aug-11-2021",61389.8452024,4265.0094916
"Aug-10-2021",61220.1327801108,4230.50090282426
"Aug-09-2021",62190.0505216023,4254.07440048205
"Aug-08-2021",58849.3969993128,4055.29102549535
"Aug-07-2021",60039.7300970782,4264.93253674311
"Aug-06-2021",57522.0654989243,3893.32745658044
"Aug-05-2021",54910.5041113705,3808.72673318651
"Aug-04-2021",53462.1564571018,3671.20244087613
"Aug-03-2021",51422.43821,3388.472802
"Aug-02-2021",52629.4764379161,3514.21919542284
"Aug-01-2021",53930.2459027269,3458.40442318006
"Jul-31-2021",56054.4798201658,3418.80305621787
"Jul-30-2021",56583.803276,3311.90717
"Jul-29-2021",53759.303026,3199.06158
"Jul-28-2021",53767.959674,3093.07141
"Jul-27-2021",52671.952762,3082.18339
"Jul-26-2021",50019.590764,3004.48863
"Jul-25-2021",47352.60387,2948.260744
"Jul-24-2021",45987.461234,2940.558478
"Jul-23-2021",45038.8913064751,2862.69134789964
"Jul-22-2021",43469.47891,2726.669374
"Jul-21-2021",43206.539948,2681.0069
"Jul-20-2021",40003.297906,2401.695582
"Jul-19-2021",41471.19119,2452.385364
"Jul-18-2021",42763.0346,2556.103836
"Jul-17-2021",42436.622514,2555.337642
"Jul-16-2021",42188.45631,2526.437342
"Jul-15-2021",42532.4331188204,2565.92135779732
"Jul-14-2021",44057.6868910815,2680.0823566521
"Jul-13-2021",43777.3309741713,2604.93600380107
"Jul-12-2021",44653.4529590083,2762.90852885546
"Jul-11-2021",46038.5462626593,2889.49779810662
"Jul-10-2021",45096.320251128,2856.32621961495
"Jul-09-2021",45522.9411765204,2899.90280663765
"Jul-08-2021",44140.7861990119,2865.74147182844
"Jul-07-2021",45524.6466199884,3115.11173318138
"Jul-06-2021",45846.3691368686,3120.27759613376
"Jul-05-2021",45523.4094525973,2982.25344945646
"Jul-04-2021",47466.9113369097,3127.2860594576
"Jul-03-2021",46641.4590658003,3000.4873444918
"Jul-02-2021",45495.8027265454,2878.80370470676
"Jul-01-2021",45203.658214,2853.60218
"Jun-30-2021",47128.2286166016,3062.83259264091
"Jun-29-2021",48176.6474909278,2913.06164872718
"Jun-28-2021",46293.065104,2802.777978
"Jun-27-2021",46481.132126,2653.087866
"Jun-26-2021",42824.303236,2439.870862
"Jun-25-2021",42622.5777009527,2451.16717418083
"Jun-24-2021",46482.9080521293,2673.71107705168
"Jun-23-2021",45227.15483,2650.856494
"Jun-22-2021",43507.681074,2516.3424
"Jun-21-2021",42485.309438,2547.890774
"Jun-20-2021",47918.7367711376,3018.44384877115
"Jun-19-2021",47901.077796,2931.76741
"Jun-18-2021",47823.235174,2994.165174
"Jun-17-2021",51189.931936,3196.279086
"Jun-16-2021",51469.4762270038,3180.5063209186
"Jun-15-2021",54042.902342,3431.191478
"Jun-14-2021",54440.059674,3472.176136
"Jun-13-2021",52410.358,3371.293926
"Jun-12-2021",47770.58286,3196.547926
"Jun-11-2021",50004.71047,3163.547816
"Jun-10-2021",49560.734652,3337.769578
"Jun-09-2021",50199.2093835644,3512.87233636782
"Jun-08-2021",44854.795381172,3380.33666495492
"Jun-07-2021",45097.9154847683,3484.27657295885
"Jun-06-2021",48096.833642,3650.067564
"Jun-05-2021",47732.891492,3523.672438
"Jun-04-2021",49611.921788,3620.481722
"Jun-03-2021",52629.072782,3843.363524
"Jun-02-2021",50572.070406,3653.118898
"Jun-01-2021",49206.309438,3539.775954
"May-31-2021",50143.700869227,3650.89322736729
"May-30-2021",47877.9274231748,3216.081749059
"May-29-2021",46406.367722,3068.593528
"May-28-2021",47948.55494,3265.075242
"May-27-2021",51724.4023688997,3697.29692901533
"May-26-2021",52672.1566154831,3866.19319054692
"May-25-2021",51302.4524656628,3617.74897024058
"May-24-2021",51912.1935822072,3541.44434751852
"May-23-2021",46824.779870304,2840.35482370137
"May-22-2021",50481.431,3094.07956
"May-21-2021",50061.9635835077,3240.96011918346
"May-20-2021",54291.9397317041,3707.21922676812
"May-19-2021",49701.2771272911,3340.23325753941
"May-18-2021",57827.1806077611,4561.15322636253
"May-17-2021",58594.917584128,4419.88399365061
"May-16-2021",62364.22621,4809.14434
"May-15-2021",62890.561162,4919.825768
"May-14-2021",67055.309464,5494.847644
"May-13-2021",66747.0857937455,5015.45378280999
"May-12-2021",67858.4884303509,5285.39909306864
"May-11-2021",76245.4890489848,5609.05539229693
"May-10-2021",74969.1004545792,5315.47342718818
"May-09-2021",78191.7478626397,5276.74230461856
"May-08-2021",78919.5574437395,5253.17082063991
"May-07-2021",77075.82311,4689.860032
"May-06-2021",75926.451458,4708.490644
"May-05-2021",77074.223512,4741.79992
"May-04-2021",71685.362870718,4358.86114382619
"May-03-2021",76903.5754947281,4624.7894769539
"May-02-2021",76033.006192,3975.4715
"May-01-2021",77686.0480626949,3969.46617120393
"Apr-30-2021",77639.1732049352,3728.27621121238
"Apr-29-2021",72063.1387485305,3717.28528961341
"Apr-28-2021",73617.1821275963,3697.16972547434
"Apr-27-2021",73828.8605603153,3558.42977680816
"Apr-26-2021",72525.5133071867,3404.16405998838
"Apr-25-2021",65849.2416584878,3102.54947808869
"Apr-24-2021",67220.3717799725,3169.74364747217
"Apr-23-2021",68581.1393162724,3178.06862682217
"Apr-22-2021",69688.2743843439,3246.48104553267
"Apr-21-2021",72438.037386,3183.253788
"Apr-20-2021",75763.978004,3132.832846
"Apr-19-2021",74809.0917506475,2913.46808363634
"Apr-18-2021",75325.1084221455,2998.93966732389
"Apr-17-2021",80757.210534,3134.33835
"Apr-16-2021",82674.7099839009,3270.36376890889
"Apr-15-2021",84930.776788,3385.582772
"Apr-14-2021",84185.8694618588,3256.50477641921
"Apr-13-2021",85394.982816,3097.413176
"Apr-12-2021",80572.060426,2885.621024
"Apr-11-2021",80676.5807055305,2894.77591582007
"Apr-10-2021",80312.5045475493,2879.51217181434
"Apr-09-2021",78177.919248,2789.134348
"Apr-08-2021",77990.322696,2800.452512
"Apr-07-2021",75373.9604720086,2669.32326689391
"Apr-06-2021",78088.9309664161,2852.93832334279
"Apr-05-2021",79009.0372527877,2834.45242291168
